,wikidata,coord,osmid
1608,Q106707075,,
1609,Q106708886,,
1610,Q106653320,,
1611,Q106653320,,
1612,Q106709511,,
1619,Q106710688,,
1620,Q7128127,,
1622,Q106710183,,
1624,Q106708872,,
1627,Q1011996,,
1628,Q106707069,,
1629,Q106707510,,
1630,Q106707698,,
1632,Q7202399,,
1633,Q1026167,,
1635,Q107148717,,
1636,Q107148736,,
1637,Q107148937,,
1638,Q14906518,,
1639,Q106708632,,
1640,Q107148864,,
1641,Q107148668,,
1642,Q107148814,,
1643,Q3276579,,
1644,Q4968669,,
1647,Q106712270,,
1648,Q106709269,,
1650,Q106709513,,
1651,Q106706970,,
1652,Q106710504,,
1653,Q106702291,,
1654,Q106708560,,
1657,Q106708592,,
1660,Q106711760,,
1662,Q106707115,,
1664,Q107169469,,
1670,Q106708893,,
1671,Q10649652,,
1677,Q106689653,,
1679,Q106711715,,
1680,Q106707155,,
1681,Q106706944,,
1682,Q106670417,,
1685,Q107148743,,
1689,Q106712319,,
1692,Q10657715,,
1693,Q107203637,,
1695,Q106712119,,
1698,Q106712302,,
1699,Q106708529,,
1701,Q106709081,,
1702,Q106708980,,
1704,Q106960645,,
1706,Q107168875,,
1707,Q107168960,,
1710,Q106707131,,
1711,Q106708374,,
1714,Q106653524,,
1715,Q106707646,,
1717,Q106708742,,
1718,Q106707009,,
1719,Q106707649,,
1720,Q107261939,,
1721,Q106707710,,
1725,Q106707129,,
1729,Q106711061,,
1730,Q106709025,,
1732,Q106816360,,
1734,Q106707640,,
1735,Q106687636,,
1736,Q106707142,,
1745,Q106710471,,
1746,Q106707858,,
1749,Q2220749,,
1752,Q106654517,,
1753,Q106707940,,
1759,Q106709783,,
1762,Q106655032,,
1763,Q106709094,,
1765,Q106708964,,
1766,Q106676180,,
1767,Q106708008,,
1770,Q106708678,,
1771,Q106708502,,
1776,Q106708780,,
1781,Q106709095,,
1785,Q106712294,,
1786,Q10662424,,
1789,Q106712005,,
1790,Q106706974,,
1797,Q106653377,,
1800,Q106708221,,
1801,Q106669938,,
1805,Q106709572,,
1806,Q106709069,,
1807,Q106711979,,
1810,Q106708645,,
1811,Q106712274,,
1812,Q106709514,,
1814,Q106710409,,
1816,Q106707703,,
1818,Q106708461,,
1819,Q106707063,,
1824,Q106710969,,
1825,Q106706787,,
1828,Q106709118,,
1831,Q106709515,,
1832,Q106707706,,
1834,Q106708699,,
1835,Q106707966,,
1836,Q106707014,,
1838,Q106706934,,
1840,Q106711390,,
1844,Q106707527,,
1845,Q106707954,,
1846,Q106708319,,
1847,Q106708048,,
1848,Q106707136,,
1850,Q106709517,,
1852,Q106709519,,
1853,Q106709521,,
1854,Q106709714,,
1860,Q106677606,,
1861,Q106711413,,
1862,Q106677565,,
1864,Q106710187,,
1865,Q106706976,,
1868,Q106708965,,
1869,Q106711722,,
1870,Q106711008,,
1873,Q106708526,,
1875,Q106708891,,
1877,Q106702268,,
1879,Q106709104,,
1880,Q106712108,,
1881,Q106707715,,
1882,Q106707526,,
1883,Q106712077,,
1889,Q106656200,,
1890,Q106671870,,
1892,Q106657251,,
1894,Q106816565,,
1899,Q106708724,,
1900,Q106708724,,
1901,Q106677211,,
1903,Q106707007,,
1907,Q106709929,,
1908,Q26253111,,
1910,Q106654887,,
1915,Q106712272,,
1919,Q106677011,,
1921,Q106711957,,
1922,Q106708110,,
1924,Q106711359,,
1925,Q106708870,,
1929,Q10678411,,
1931,Q106687473,,
1933,Q106712283,,
1939,Q106707867,,
1941,Q106678832,,
1948,Q106707861,,
1949,Q106707052,,
1950,Q106707010,,
1951,Q106653616,,
1953,Q106707648,,
1954,Q106707628,,
1959,Q106706972,,
1960,Q106712140,,
1961,Q106707163,,
1967,Q106709096,,
1969,Q106709275,,
1971,Q106709381,,
1973,Q106656340,,
1975,Q106709721,,
1977,Q106710506,,
1978,Q106712006,,
1980,Q106673492,,
1982,Q106702250,,
1983,Q106702279,,
1985,Q106673720,,
1986,Q106712304,,
1989,Q106709700,,
1992,Q106709283,,
2001,Q106678770,,
2009,Q106709149,,
2010,Q106710181,,
2012,Q21044846,,
2013,Q21044846,,
2014,Q106670434,,
2016,Q106708649,,
2017,Q106710209,,
2018,Q106677306,,
2019,Q106709166,,
2020,Q106708650,,
2021,Q106708218,,
2026,Q106708010,,
2028,Q106677028,,
2029,Q106710441,,
2030,Q106707143,,
2031,Q106711380,,
2035,Q10684770,,
2036,Q106814787,,
2038,Q106712066,,
2040,Q106709097,,
2045,Q106708191,,
2046,Q106687167,,
2048,Q106708725,,
2049,Q106709408,,
2050,Q106708595,,
2051,Q106711352,,
2052,Q106672400,,
2054,Q106708222,,
2055,Q106710798,,
2058,Q106654701,,
2061,Q106711939,,
2064,Q106687137,,
2071,Q106707846,,
2072,Q106708661,,
2074,Q106962860,,
2076,Q106709699,,
2077,Q106712198,,
2078,Q106709526,,
2081,Q106857935,,
2083,Q106956652,,
2088,Q106708313,,
2091,Q106706996,,
2093,Q106653712,,
2098,Q106712303,,
2099,Q106711754,,
2100,Q106656179,,
2103,Q106708510,,
2104,Q10698978,,
2105,Q106707869,,
2107,Q26197228,,
2108,Q106669776,,
2112,Q106712127,,
2119,Q106709367,,
2120,Q106676547,,
2123,Q106708591,,
2125,Q106708596,,
2128,Q106707054,,
2130,Q106707704,,
2136,Q56300676,,
2140,Q106669765,,
2147,Q106920628,,
2148,Q106708777,,
2149,Q106707708,,
2150,Q106709204,,
2151,Q106707957,,
2153,Q106711298,,
2155,Q106676711,,
2156,Q49325087,,
2157,Q106712012,,
2159,Q106709377,,
2163,Q106708598,,
2165,Q106711651,,
2166,Q106709527,,
2168,Q106708022,,
2171,Q106704485,,
2174,Q106709529,,
2176,Q104809094,,
2180,Q106707120,,
2181,Q25288323,,
2183,Q106709270,,
2184,Q106707702,,
2187,Q106676563,,
2192,Q10712818,,
2195,Q106711945,,
2196,Q106816470,,
2200,Q106707133,,
2202,Q106672431,,
2203,Q106707523,,
2206,Q106709530,,
2207,Q106710507,,
2208,Q106712041,,
2214,Q106706955,,
2216,Q106711989,,
2217,Q106711357,,
2219,Q106712233,,
2220,Q106709400,,
2226,Q106656080,,
2230,Q106707083,,
2231,Q106709561,,
2233,Q107015183,,
2235,Q106710443,,
2237,Q106708600,,
2239,Q106707711,,
2240,Q106712124,,
2241,Q106656413,,
2246,Q106712169,,
2247,Q106669891,,
2249,Q106654162,,
2251,Q106709090,,
2252,Q106709086,,
2254,Q106709532,,
2257,Q106709201,,
2258,Q106709942,,
2261,Q106708939,,
2263,Q106706951,,
2265,Q106711997,,
2266,Q106712101,,
2267,Q106709278,,
2270,Q106708952,,
2273,Q106671656,,
2274,Q106671656,,
2279,Q106712110,,
2283,Q106712323,,
2285,Q106708076,,
2287,Q106707720,,
2288,Q106708195,,
2289,Q106709380,,
2290,Q106708972,,
2291,Q106711093,,
2292,Q106707186,,
2293,Q106708433,,
2294,Q106707809,,
2295,Q106708310,,
2296,Q106711944,,
2297,Q106708399,,
2298,Q106709133,,
2299,Q106708378,,
2300,Q106711719,,
2301,Q106709006,,
2302,Q106709401,,
2303,Q106707086,,
2304,Q106707159,,
2305,Q106710487,,
